year,month,airport,carrier,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,arr_flights,arr_cancelled,arr_diverted,arr_del15,arr_delay,delay_ratio
2021,1,ATL,AA,3.25,52.41,2.16,0.0,0.0,728,10,1,121,39.99,0.1662
2021,1,ATL,DL,0.22,90.47,20.84,0.0,28.76,264,1,0,21,106.65,0.0795
2021,1,ATL,UA,40.52,0.0,58.68,0.0,0.0,650,10,1,69,89.43,0.1062
2021,1,ATL,WN,1.65,35.74,0.0,0.17,59.45,486,7,1,75,85.1,0.1543
2021,1,ATL,AS,0.0,112.52,34.99,0.0,0.0,294,3,0,26,104.18,0.0884
2021,1,ATL,B6,0.0,4.35,0.0,0.0,0.0,542,8,0,68,2.9,0.1255
2021,1,ATL,NK,41.98,0.0,13.3,0.0,0.0,626,9,2,60,53.06,0.0958
2021,1,ATL,F9,28.2,0.0,0.0,0.0,0.0,716,10,2,76,28.2,0.1061
2021,1,ATL,G4,0.0,33.67,0.0,0.0,4.48,348,3,0,46,26.92,0.1322
2021,1,ATL,VX,43.81,0.0,36.69,0.0,0.0,904,6,3,151,74.39,0.167
2021,1,LAX,AA,30.13,0.0,0.0,1.3,0.0,922,10,4,149,31.44,0.1616
2021,1,LAX,DL,34.71,62.81,29.09,0.0,20.82,832,14,4,116,121.64,0.1394
2021,1,LAX,UA,7.39,0.0,0.0,0.0,36.84,136,3,0,20,44.23,0.1471
2021,1,LAX,WN,44.38,0.0,31.88,0.0,51.91,250,3,0,34,122.86,0.136
2021,1,LAX,AS,0.0,0.0,27.55,0.0,48.29,952,18,4,158,71.25,0.166
2021,1,LAX,B6,19.5,0.0,0.0,0.0,0.0,120,1,0,13,19.5,0.1083
2021,1,LAX,NK,14.32,0.0,19.89,0.0,30.96,336,3,1,52,61.85,0.1548
2021,1,LAX,F9,34.76,0.0,48.76,0.0,34.71,308,5,0,25,110.11,0.0812
2021,1,LAX,G4,42.54,0.0,0.0,0.0,36.71,362,4,1,45,79.25,0.1243
2021,1,LAX,VX,0.0,71.2,6.22,0.0,17.12,794,18,2,92,69.77,0.1159
2021,1,ORD,AA,0.0,0.0,10.26,0.0,0.0,614,9,2,105,8.55,0.171
2021,1,ORD,DL,18.42,114.17,0.0,0.0,49.09,298,6,1,40,143.62,0.1342
2021,1,ORD,UA,0.0,0.0,32.72,0.0,0.0,572,9,2,87,27.27,0.1521
2021,1,ORD,WN,40.0,61.84,0.0,0.0,11.51,534,8,2,71,92.74,0.133
2021,1,ORD,AS,0.0,0.0,61.14,5.56,29.3,278,2,0,25,85.81,0.0899
2021,1,ORD,B6,26.82,0.0,56.09,0.0,59.05,708,8,0,67,132.61,0.0946
2021,1,ORD,NK,0.0,0.0,0.0,0.0,0.0,964,23,4,103,0.0,0.1068
2021,1,ORD,F9,24.23,0.52,50.66,0.0,0.0,612,14,1,82,66.79,0.134
2021,1,ORD,G4,0.0,103.72,40.89,0.0,49.49,362,5,0,56,152.71,0.1547
2021,1,ORD,VX,35.54,84.57,43.93,0.0,0.0,808,6,0,121,128.53,0.1498
2021,1,DFW,AA,45.65,0.0,47.64,0.0,53.94,468,9,1,76,139.29,0.1624
2021,1,DFW,DL,40.85,0.0,65.9,0.0,21.29,198,4,0,29,117.05,0.1465
2021,1,DFW,UA,13.27,0.0,17.69,0.0,0.0,336,5,0,29,28.01,0.0863
2021,1,DFW,WN,42.25,0.0,71.19,0.0,48.34,106,1,0,16,149.91,0.1509
2021,1,DFW,AS,31.92,0.0,13.82,0.0,0.0,480,11,1,42,43.43,0.0875
2021,1,DFW,B6,0.0,38.06,0.0,0.0,0.0,596,9,1,86,25.37,0.1443
2021,1,DFW,NK,45.7,0.0,22.96,0.0,0.0,432,9,2,57,64.83,0.1319
2021,1,DFW,F9,0.0,0.0,44.92,0.0,42.13,798,10,3,111,79.57,0.1391
2021,1,DFW,G4,0.0,0.0,0.0,0.0,31.37,292,6,0,22,31.37,0.0753
2021,1,DFW,VX,20.84,0.0,47.34,0.0,36.08,466,8,1,68,96.37,0.1459
2021,1,DEN,AA,21.56,0.0,47.17,0.0,67.11,306,6,1,82,135.84,0.268
2021,1,DEN,DL,37.6,0.0,0.0,0.0,51.97,267,11,1,67,89.57,0.2509
2021,1,DEN,UA,46.02,33.12,0.0,0.0,20.67,260,8,1,76,88.77,0.2923
2021,1,DEN,WN,0.0,40.88,57.38,0.0,5.64,179,6,1,35,90.28,0.1955
2021,1,DEN,AS,9.62,0.0,39.88,0.0,69.07,256,6,2,40,118.57,0.1562
2021,1,DEN,B6,21.46,116.18,43.34,0.0,0.0,86,3,0,24,142.25,0.2791
2021,1,DEN,NK,5.59,111.46,48.52,0.0,0.0,491,20,1,146,128.42,0.2974
2021,1,DEN,F9,33.22,54.22,0.0,0.0,0.0,277,13,1,45,69.37,0.1625
2021,1,DEN,G4,0.0,108.55,8.01,0.0,0.0,437,20,1,133,80.37,0.3043
2021,1,DEN,VX,0.0,100.49,0.0,0.0,0.0,355,7,1,104,66.99,0.293
2021,1,JFK,AA,32.35,0.0,0.0,0.0,0.0,316,6,0,97,32.35,0.307
2021,1,JFK,DL,41.74,32.55,35.02,0.0,0.0,213,5,2,39,98.46,0.1831
2021,1,JFK,UA,16.84,44.48,0.0,0.0,58.61,278,8,1,76,105.11,0.2734
2021,1,JFK,WN,2.57,80.57,0.0,9.37,0.0,273,3,2,89,65.65,0.326
2021,1,JFK,AS,21.86,60.23,46.15,0.0,0.0,217,6,2,47,108.17,0.2166
2021,1,JFK,B6,26.08,0.21,2.32,0.0,0.0,119,5,0,30,28.54,0.2521
2021,1,JFK,NK,34.76,0.0,53.68,0.0,41.31,328,10,0,92,129.75,0.2805
2021,1,JFK,F9,35.79,56.36,52.1,0.0,29.06,219,8,2,56,154.52,0.2557
2021,1,JFK,G4,31.34,111.68,10.53,0.0,0.0,175,5,0,49,116.33,0.28
2021,1,JFK,VX,21.46,0.0,39.42,6.51,0.0,83,3,0,22,67.39,0.2651
2021,1,SFO,AA,24.62,93.28,21.56,0.0,11.1,113,1,0,21,119.47,0.1858
2021,1,SFO,DL,43.62,0.0,55.86,0.0,0.0,181,4,0,34,99.47,0.1878
2021,1,SFO,UA,0.0,0.0,0.0,0.0,0.0,220,10,0,56,0.0,0.2545
2021,1,SFO,WN,8.28,0.0,50.15,0.0,51.33,404,7,1,98,109.77,0.2426
2021,1,SFO,AS,7.52,0.0,56.63,0.0,28.49,170,2,0,32,92.64,0.1882
2021,1,SFO,B6,0.0,0.0,52.96,0.0,68.9,118,3,0,37,121.87,0.3136
2021,1,SFO,NK,22.42,0.0,0.0,9.45,0.0,460,9,1,77,31.87,0.1674
2021,1,SFO,F9,0.0,0.0,44.25,0.0,0.0,109,4,0,33,44.25,0.3028
2021,1,SFO,G4,0.0,67.67,26.41,9.01,54.86,321,11,1,61,135.4,0.19
2021,1,SFO,VX,6.13,0.0,53.42,0.0,0.0,417,15,1,125,59.55,0.2998
2021,1,SEA,AA,11.16,0.0,17.95,0.0,0.0,364,15,0,83,29.12,0.228
2021,1,SEA,DL,0.0,0.0,0.0,0.0,15.17,460,10,4,96,15.17,0.2087
2021,1,SEA,UA,9.36,30.3,0.0,0.0,0.0,285,13,1,64,29.56,0.2246
2021,1,SEA,WN,49.67,27.85,10.21,0.0,51.97,85,2,0,28,130.42,0.3294
2021,1,SEA,AS,37.25,0.0,27.93,0.0,20.74,200,8,0,45,85.91,0.225
2021,1,SEA,B6,9.3,51.71,0.0,7.5,0.0,298,13,1,77,51.28,0.2584
2021,1,SEA,NK,0.0,0.0,37.22,9.11,50.6,115,2,1,17,96.94,0.1478
2021,1,SEA,F9,46.52,0.0,48.2,0.0,0.0,114,3,0,19,94.71,0.1667
2021,1,SEA,G4,22.77,35.07,16.9,0.0,2.04,325,10,1,57,65.09,0.1754
2021,1,SEA,VX,12.06,0.0,0.0,0.0,58.41,405,4,3,66,70.48,0.163
2021,1,LAS,AA,0.0,0.0,36.95,0.0,14.98,194,5,1,31,51.93,0.1598
2021,1,LAS,DL,5.04,25.4,0.0,0.0,13.71,126,5,1,35,35.69,0.2778
2021,1,LAS,UA,2.68,80.64,1.66,0.0,0.0,243,3,1,69,58.1,0.284
2021,1,LAS,WN,49.76,0.0,12.95,0.0,0.0,94,3,0,21,62.71,0.2234
2021,1,LAS,AS,28.49,55.97,30.89,0.0,66.43,311,3,1,66,163.12,0.2122
2021,1,LAS,B6,19.4,1.14,0.0,0.0,35.25,296,3,2,77,55.42,0.2601
2021,1,LAS,NK,40.08,0.0,38.79,0.0,0.0,95,1,0,18,78.87,0.1895
2021,1,LAS,F9,0.0,0.0,0.0,0.0,52.24,154,7,0,32,52.24,0.2078
2021,1,LAS,G4,49.86,0.0,38.34,0.0,0.0,98,1,0,33,88.2,0.3367
2021,1,LAS,VX,0.0,0.0,28.91,0.0,35.97,339,7,0,66,64.88,0.1947
2021,1,MCO,AA,29.51,104.93,44.15,0.0,0.0,363,14,0,93,143.63,0.2562
2021,1,MCO,DL,34.18,0.0,0.0,0.0,0.0,330,7,2,57,34.18,0.1727
2021,1,MCO,UA,19.37,0.0,7.32,0.0,0.0,56,0,0,17,26.69,0.3036
2021,1,MCO,WN,10.65,35.96,45.1,0.0,0.0,476,22,2,154,79.72,0.3235
2021,1,MCO,AS,5.99,0.0,0.0,0.0,56.51,356,7,0,83,62.51,0.2331
2021,1,MCO,B6,0.0,0.0,30.6,0.0,57.28,429,12,2,86,87.88,0.2005
2021,1,MCO,NK,0.0,102.24,49.96,0.0,0.0,428,17,2,148,118.12,0.3458
2021,1,MCO,F9,0.0,0.0,0.0,0.0,64.51,471,7,0,105,64.51,0.2229
2021,1,MCO,G4,17.75,0.0,7.91,0.0,0.0,70,1,0,15,25.67,0.2143
2021,1,MCO,VX,6.41,30.95,50.91,0.0,53.78,91,4,0,26,131.73,0.2857
2021,1,EWR,AA,0.0,0.0,36.94,0.0,55.96,368,5,0,115,92.9,0.3125
2021,1,EWR,DL,25.09,41.53,54.81,0.0,61.22,128,3,0,34,168.81,0.2656
2021,1,EWR,UA,0.0,0.0,0.0,0.0,0.0,130,4,0,21,0.0,0.1615
