year,month,airport,airport_name,carrier,carrier_name,arr_flights,arr_cancelled,arr_diverted,arr_del15,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_ratio
2023,1,ATL,Hartsfield-Jackson Atlanta International,AA,American Airlines,1687,8,0,488,14893.77,209,80,140,14,45,0.2893
2023,1,ATL,Hartsfield-Jackson Atlanta International,DL,Delta Air Lines,1748,28,8,453,8875.55,42,161,231,2,17,0.2592
2023,1,ATL,Hartsfield-Jackson Atlanta International,UA,United Airlines,1020,5,4,351,8998.43,45,101,154,13,38,0.3441
2023,1,ATL,Hartsfield-Jackson Atlanta International,WN,Southwest Airlines,1095,5,1,336,11515.6,128,53,86,4,65,0.3068
2023,1,ATL,Hartsfield-Jackson Atlanta International,B6,JetBlue Airways,1191,8,0,333,10563.15,117,22,106,11,77,0.2796
2023,1,ATL,Hartsfield-Jackson Atlanta International,AS,Alaska Airlines,1835,34,8,332,10657.16,51,106,55,35,85,0.1809
2023,1,ATL,Hartsfield-Jackson Atlanta International,NK,Spirit Airlines,1652,33,5,446,13041.7,167,59,195,4,21,0.27
2023,1,ATL,Hartsfield-Jackson Atlanta International,F9,Frontier Airlines,1906,23,1,478,12288.41,238,69,66,24,81,0.2508
2023,1,LAX,Los Angeles International,AA,American Airlines,1237,10,2,368,10434.72,110,36,186,8,28,0.2975
2023,1,LAX,Los Angeles International,DL,Delta Air Lines,920,13,5,270,9401.91,51,30,133,12,44,0.2935
2023,1,LAX,Los Angeles International,UA,United Airlines,1688,27,8,244,7731.33,76,93,43,14,18,0.1445
2023,1,LAX,Los Angeles International,WN,Southwest Airlines,1296,13,0,390,9643.04,74,90,69,20,137,0.3009
2023,1,LAX,Los Angeles International,B6,JetBlue Airways,1692,19,2,490,13689.6,87,45,141,16,201,0.2896
2023,1,LAX,Los Angeles International,AS,Alaska Airlines,1596,17,5,330,10179.94,76,45,145,31,33,0.2068
2023,1,LAX,Los Angeles International,NK,Spirit Airlines,819,7,5,256,6268.81,40,64,91,2,59,0.3126
2023,1,LAX,Los Angeles International,F9,Frontier Airlines,1406,21,4,424,12545.77,161,12,189,23,39,0.3016
2023,1,ORD,Chicago O'Hare International,AA,American Airlines,1519,29,4,454,9392.66,184,97,43,9,121,0.2989
